DATE,CURRCIR
1917-08-01,3.714
1917-09-01,3.774
1917-10-01,3.865
1917-11-01,3.916
1917-12-01,4.055
1918-01-01,4.019
1918-02-01,3.993
1918-03-01,4.086
1918-04-01,4.136
1918-05-01,4.114
1918-06-01,4.161
1918-07-01,4.233
1918-08-01,4.379
1918-09-01,4.624
1918-10-01,4.847
1918-11-01,4.896
1918-12-01,4.956
1919-01-01,4.763
1919-02-01,4.645
1919-03-01,4.655
1919-04-01,4.683
1919-05-01,4.654
1919-06-01,4.604
1919-07-01,4.609
1919-08-01,4.626
1919-09-01,4.702
1919-10-01,4.819
1919-11-01,4.921
1919-12-01,5.055
1920-01-01,4.944
1920-02-01,4.998
1920-03-01,5.111
1920-04-01,5.085
1920-05-01,5.127
1920-06-01,5.161
1920-07-01,5.191
1920-08-01,5.222
1920-09-01,5.313
1920-10-01,5.386
1920-11-01,5.375
1920-12-01,5.371
1921-01-01,5.114
1921-02-01,4.976
1921-03-01,4.917
1921-04-01,4.791
1921-05-01,4.755
1921-06-01,4.649
1921-07-01,4.570
1921-08-01,4.484
1921-09-01,4.465
1921-10-01,4.434
1921-11-01,4.386
1921-12-01,4.431
1922-01-01,4.240
1922-02-01,4.164
1922-03-01,4.196
1922-04-01,4.195
1922-05-01,4.163
1922-06-01,4.142
1922-07-01,4.156
1922-08-01,4.161
1922-09-01,4.265
1922-10-01,4.356
1922-11-01,4.384
1922-12-01,4.540
1923-01-01,4.392
1923-02-01,4.385
1923-03-01,4.426
1923-04-01,4.444
1923-05-01,4.477
1923-06-01,4.492
1923-07-01,4.525
1923-08-01,4.546
1923-09-01,4.614
1923-10-01,4.654
1923-11-01,4.666
1923-12-01,4.784
1924-01-01,4.560
1924-02-01,4.545
1924-03-01,4.583
1924-04-01,4.599
1924-05-01,4.579
1924-06-01,4.543
1924-07-01,4.523
1924-08-01,4.513
1924-09-01,4.566
1924-10-01,4.604
1924-11-01,4.683
1924-12-01,4.801
1925-01-01,4.576
1925-02-01,4.518
1925-03-01,4.527
1925-04-01,4.516
1925-05-01,4.504
1925-06-01,4.503
1925-07-01,4.507
1925-08-01,4.530
1925-09-01,4.621
1925-10-01,4.658
1925-11-01,4.673
1925-12-01,4.832
1926-01-01,4.604
1926-02-01,4.567
1926-03-01,4.577
1926-04-01,4.595
1926-05-01,4.584
1926-06-01,4.594
1926-07-01,4.629
1926-08-01,4.625
