DATE,DAUTOSAAR
1967-01-01,7.837
1967-02-01,6.850
1967-03-01,7.220
1967-04-01,8.164
1967-05-01,7.961
1967-06-01,8.186
1967-07-01,7.939
1967-08-01,7.295
1967-09-01,7.764
1967-10-01,7.052
1967-11-01,6.766
1967-12-01,7.780
1968-01-01,8.526
1968-02-01,8.035
1968-03-01,8.743
1968-04-01,8.153
1968-05-01,8.694
1968-06-01,8.413
1968-07-01,8.996
1968-08-01,8.994
1968-09-01,8.702
1968-10-01,8.960
1968-11-01,8.638
1968-12-01,8.642
1969-01-01,8.850
1969-02-01,8.869
1969-03-01,8.356
1969-04-01,8.500
1969-05-01,8.510
1969-06-01,8.489
1969-07-01,8.065
1969-08-01,8.450
1969-09-01,8.975
1969-10-01,8.642
1969-11-01,8.062
1969-12-01,7.804
1970-01-01,7.394
1970-02-01,7.944
1970-03-01,7.444
1970-04-01,7.742
1970-05-01,7.668
1970-06-01,8.054
1970-07-01,7.720
1970-08-01,7.595
1970-09-01,7.763
1970-10-01,5.981
1970-11-01,4.944
1970-12-01,5.184
1971-01-01,8.255
1971-02-01,8.305
1971-03-01,8.749
1971-04-01,8.296
1971-05-01,8.164
1971-06-01,8.423
1971-07-01,7.883
1971-08-01,8.270
1971-09-01,9.964
1971-10-01,9.684
1971-11-01,9.210
1971-12-01,8.740
1972-01-01,8.838
1972-02-01,9.076
1972-03-01,8.962
1972-04-01,9.109
1972-05-01,9.262
1972-06-01,9.020
1972-07-01,9.142
1972-08-01,9.320
1972-09-01,9.118
1972-10-01,9.521
1972-11-01,9.744
1972-12-01,9.920
1973-01-01,10.136
1973-02-01,10.208
1973-03-01,10.918
1973-04-01,10.463
1973-05-01,10.614
1973-06-01,9.730
1973-07-01,9.622
1973-08-01,9.367
1973-09-01,9.629
1973-10-01,8.278
1973-11-01,8.267
1973-12-01,7.832
1974-01-01,7.930
1974-02-01,7.612
1974-03-01,7.770
1974-04-01,7.794
1974-05-01,7.778
1974-06-01,7.669
1974-07-01,7.576
1974-08-01,8.896
1974-09-01,7.314
1974-10-01,6.356
1974-11-01,5.603
1974-12-01,6.044
1975-01-01,6.386
1975-02-01,7.162
1975-03-01,5.998
1975-04-01,5.716
1975-05-01,6.269
1975-06-01,6.361
1975-07-01,7.279
1975-08-01,7.094
1975-09-01,7.504
1975-10-01,7.620
1975-11-01,7.895
1975-12-01,8.128
1976-01-01,8.453
1976-02-01,8.723
1976-03-01,8.812
1976-04-01,8.626
1976-05-01,8.386
1976-06-01,8.430
1976-07-01,8.549
1976-08-01,7.990
1976-09-01,8.452
1976-10-01,7.710
1976-11-01,8.279
1976-12-01,9.497
1977-01-01,8.945
1977-02-01,9.024
1977-03-01,9.391
1977-04-01,8.950
1977-05-01,8.870
1977-06-01,9.178
1977-07-01,8.861
1977-08-01,8.988
1977-09-01,8.749
1977-10-01,8.982
1977-11-01,8.732
1977-12-01,8.984
1978-01-01,8.044
1978-02-01,8.543
1978-03-01,8.960
1978-04-01,9.751
1978-05-01,9.788
1978-06-01,9.742
1978-07-01,9.091
1978-08-01,9.571
1978-09-01,8.725
1978-10-01,9.380
1978-11-01,9.132
1978-12-01,9.239
1979-01-01,9.026
1979-02-01,9.176
1979-03-01,8.791
1979-04-01,8.374
1979-05-01,8.236
1979-06-01,7.291
1979-07-01,8.328
1979-08-01,8.586
1979-09-01,8.485
1979-10-01,7.321
1979-11-01,7.330
1979-12-01,7.817
1980-01-01,8.345
1980-02-01,7.862
1980-03-01,7.139
1980-04-01,5.923
1980-05-01,5.324
1980-06-01,5.753
1980-07-01,6.445
1980-08-01,6.432
1980-09-01,6.372
1980-10-01,6.631
1980-11-01,6.463
1980-12-01,6.287
1981-01-01,6.563
1981-02-01,7.397
1981-03-01,7.650
1981-04-01,5.738
1981-05-01,5.796
1981-06-01,5.779
1981-07-01,5.856
1981-08-01,7.810
1981-09-01,6.726
1981-10-01,5.131
1981-11-01,5.138
1981-12-01,4.921
1982-01-01,5.348
1982-02-01,6.248
1982-03-01,5.868
1982-04-01,5.471
1982-05-01,6.383
1982-06-01,5.130
1982-07-01,5.184
1982-08-01,5.350
1982-09-01,6.182
1982-10-01,5.328
1982-11-01,6.478
1982-12-01,6.128
1983-01-01,5.780
1983-02-01,5.992
1983-03-01,6.084
1983-04-01,6.538
1983-05-01,6.814
1983-06-01,7.254
1983-07-01,7.202
1983-08-01,6.725
1983-09-01,6.874
1983-10-01,7.162
1983-11-01,7.070
1983-12-01,8.023
1984-01-01,7.879
1984-02-01,8.239
1984-03-01,7.952
1984-04-01,8.018
1984-05-01,8.154
1984-06-01,8.035
1984-07-01,8.198
1984-08-01,7.849
1984-09-01,7.645
1984-10-01,7.604
1984-11-01,7.774
1984-12-01,8.071
1985-01-01,8.244
1985-02-01,8.308
1985-03-01,8.380
1985-04-01,8.474
1985-05-01,8.227
1985-06-01,7.651
1985-07-01,7.532
1985-08-01,9.412
1985-09-01,11.239
1985-10-01,6.462
1985-11-01,6.772
1985-12-01,7.754
1986-01-01,8.498
1986-02-01,7.836
1986-03-01,6.928
1986-04-01,7.844
1986-05-01,8.192
1986-06-01,8.176
1986-07-01,7.608
1986-08-01,8.808
1986-09-01,11.519
1986-10-01,7.100
1986-11-01,6.990
1986-12-01,9.080
1987-01-01,5.846
1987-02-01,7.184
1987-03-01,7.403
