,address,info,z_address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zestimate,zindexvalue,zipcode,zpid
2,Address: 1160 Mission Street #2007, San FranciscoSales price: 1300000Sales date: 02/17/2016Bedrooms: 2Square feet: 1043Lot size: 43557,1160 Mission St UNIT 2007,2.0,2.0,1043.0,02/17/2016,1300000.0,37.778705,-122.412635,South of Market,4.0,Condominium,2007.0,1167508.0,"975,700",94103.0,83152781.0
5,Address: 260 King Street #475, San FranciscoSales price: 750000Sales date: 02/17/2016Bedrooms: 1Square feet: 908Lot size: 213232,260 King St UNIT 475,1.0,1.0,903.0,02/17/2016,750000.0,37.777641,-122.393417,South of Market,3.0,Condominium,2004.0,823719.0,"975,700",94107.0,69819817.0
7,Address: 560 Missouri Street #B, San FranciscoSales price: 1495000Sales date: 02/17/2016Bedrooms: 3Square feet: 1425Lot size: 2496,560 Missouri St # B,4.0,3.0,1425.0,02/17/2016,1495000.0,37.759198,-122.396516,Potrero Hill,6.0,Condominium,2003.0,1708594.0,"1,277,600",94107.0,64972847.0
9,Address: 350 Missouri Street, San FranciscoSales price: 2700000Sales date: 02/17/2016Bedrooms: 3Square feet: 1984Lot size: 2469,350 Missouri St,3.0,3.0,2231.0,02/17/2016,2700000.0,37.761886,-122.396769,Potrero Hill,10.0,SingleFamily,1927.0,2411236.0,"1,277,600",94107.0,15149489.0
11,Address: 3658 Folsom Street, San FranciscoSales price: 1530000Sales date: 02/17/2016Bedrooms: 0Square feet: 924Lot size: 1750,3658 Folsom St,3.0,3.0,1300.0,02/17/2016,1530000.0,37.740795,-122.413453,Bernal Heights,4.0,SingleFamily,1900.0,1918539.0,"1,248,000",94110.0,15161978.0
12,Address: 156 Lowell Street, San FranciscoSales price: 460000Sales date: 02/17/2016Bedrooms: 2Square feet: 1250Lot size: 3000,156 Lowell St,1.0,2.0,1250.0,02/17/2016,460000.0,37.710226,-122.446027,Crocker Amazon,5.0,SingleFamily,1924.0,703392.0,"823,000",94112.0,15178981.0
13,Address: 735 Lakeview Avenue, San FranciscoSales price: 532000Sales date: 02/17/2016Bedrooms: 3Square feet: 1032Lot size: 2495,735 Lakeview Ave,1.0,3.0,1032.0,02/17/2016,532000.0,37.718024,-122.460332,Oceanview,6.0,SingleFamily,1939.0,741715.0,"762,700",94112.0,15192274.0
14,Address: 430 Capistrano Avenue, San FranciscoSales price: 1050000Sales date: 02/17/2016Bedrooms: 0Square feet: 1200Lot size: 3136,430 Capistrano Ave,1.0,2.0,1200.0,02/17/2016,1050000.0,37.725204,-122.439273,Mission Terrace,5.0,SingleFamily,1924.0,1023650.0,"992,600",94112.0,15141129.0
15,Address: 4135 23rd Street, San FranciscoSales price: 3500000Sales date: 02/17/2016Bedrooms: 4Square feet: 2661Lot size: 2944,4135 23rd St,3.5,4.0,2700.0,02/17/2016,3500000.0,37.752602,-122.435011,Noe Valley,9.0,SingleFamily,1912.0,3604950.0,"1,782,000",94114.0,15131647.0
16,Address: 440 Steiner Street, San FranciscoSales price: 1500000Sales date: 02/17/2016Bedrooms: 3Square feet: 2016Lot size: 2885,440 Steiner St,2.0,3.0,2016.0,02/17/2016,1500000.0,37.773237,-122.432302,Hayes Valley,7.0,Condominium,1890.0,1547314.0,"1,224,800",94117.0,118608077.0
18,Address: 414 Somerset Street, San FranciscoSales price: 848000Sales date: 02/17/2016Bedrooms: 5Square feet: 1798Lot size: 2273,414 Somerset St,1.0,3.0,1798.0,02/17/2016,848000.0,37.726252,-122.407649,Portola,8.0,SingleFamily,1953.0,933506.0,"888,400",94134.0,15170161.0
19,Address: 300 Berry Street #813, San FranciscoSales price: 1000000Sales date: 02/17/2016Bedrooms: 2Square feet: 761Lot size: 41861,300 Berry St UNIT 813,1.0,1.0,761.0,02/17/2016,1000000.0,37.773929,-122.39624,South of Market,4.0,Condominium,2008.0,931039.0,"975,700",94158.0,96023519.0
24,Address: 370 Church Street #F, San FranciscoSales price: 888000Sales date: 02/16/2016Bedrooms: 1Square feet: 780Lot size: 18656,370 Church St APT F,1.0,1.0,780.0,08/12/2015,863000.0,37.765062,-122.429077,Eureka Valley - Dolores Heights - Castro,4.0,Condominium,1981.0,847894.0,"1,744,100",94114.0,15143549.0
25,Address: 10 22nd Avenue, San FranciscoSales price: 4888000Sales date: 02/16/2016Bedrooms: 5Square feet: 4296Lot size: 13812,10 22nd Ave,5.0,5.0,5786.0,02/16/2016,4888000.0,37.787088,-122.481741,Lake,12.0,SingleFamily,1926.0,7159444.0,"2,244,500",94121.0,15089099.0
26,Address: 1847 10th Avenue, San FranciscoSales price: 1000000Sales date: 02/16/2016Bedrooms: 1Square feet: 1688Lot size: 3000,1847 10th Ave,2.0,2.0,1688.0,02/16/2016,1000000.0,37.753756,-122.466995,Inner Sunset,6.0,SingleFamily,1927.0,1106369.0,"1,357,900",94122.0,15111864.0
27,Address: 442 Mangels Avenue, San FranciscoSales price: 210000Sales date: 02/16/2016Bedrooms: 0Square feet: 1619Lot size: 2495,442 Mangels Ave,3.0,4.0,1619.0,02/16/2016,210000.0,37.733307,-122.447605,Sunnyside,7.0,SingleFamily,1966.0,1483668.0,"1,038,200",94127.0,15137861.0
33,Address: 650 Turk Street #706, San FranciscoSales price: 525000Sales date: 02/12/2016Bedrooms: 1Square feet: 398Lot size: 15582,650 Turk St UNIT 706,1.0,0.0,398.0,02/12/2016,525000.0,37.782379,-122.420166,Van Ness - Civic Center,4.0,Condominium,2008.0,565702.0,"855,500",94102.0,82785510.0
34,Address: 66 Rondel Place, San FranciscoSales price: 2300000Sales date: 02/12/2016Bedrooms: 4Square feet: 2615Lot size: 1503,66 Rondel Pl,4.5,4.0,2615.0,02/12/2016,2300000.0,37.763849,-122.421259,Mission,9.0,SingleFamily,1906.0,1613306.0,"1,185,400",94103.0,15143880.0
